Point00	0.2605	0.6913	0.2874	0.4148
Point01	0.7535	0.1888	0.6069	0.4798
Point02	0.6464	0.4533	0.6959	0.9934
Point03	0.8025	0.3499	0.9197	0.7967
Point04	0.5298	0.2574	0.0364	0.9780
Point05	0.3617	0.8717	0.0083	0.8315
Point06	0.8064	0.8860	0.6524	0.3354
Point07	0.1975	0.3999	0.7562	0.6500
Point08	0.9166	0.7109	0.7922	0.4160
Point09	0.5210	0.4179	0.6319	0.3168
Point10	0.2597	0.1704	0.1205	0.3321
Point11	0.2301	0.5692	0.1636	0.8524
Point12	0.9612	0.6027	0.1892	0.7527
Point13	0.5605	0.0207	0.7787	0.1729
Point14	0.0780	0.4023	0.6483	0.0607
Point15	0.3805	0.5994	0.4684	0.0572
Point16	0.3477	0.2021	0.6284	0.5274
Point17	0.4602	0.6944	0.5950	0.0421
Point18	0.0167	0.7986	0.0388	0.4048
Point19	0.0517	0.9400	0.1744	0.0285
Point20	0.1104	0.8377	0.4869	0.6085
Point21	0.0271	0.5167	0.1315	0.2940
Point22	0.7541	0.8557	0.1518	0.9726
Point23	0.6405	0.4957	0.3544	0.5590
Point24	0.7930	0.1318	0.2186	0.8902
Point25	0.7011	0.0314	0.8539	0.7257
Point26	0.0152	0.9496	0.4180	0.5268
Point27	0.5761	0.3642	0.9714	0.9215
Point28	0.7378	0.2873	0.8037	0.6893
Point29	0.9795	0.5318	0.3739	0.5170
Point30	0.3817	0.6619	0.1501	0.8650
Point31	0.9402	0.4097	0.5240	0.8597
Point32	0.9291	0.8369	0.2533	0.9083
Point33	0.6990	0.1999	0.4197	0.5693
Point34	0.8382	0.3684	0.9806	0.3439
Point35	0.5318	0.7721	0.6604	0.3708
Point36	0.0676	0.5168	0.1269	0.2808
Point37	0.6618	0.3218	0.3169	0.6090
Point38	0.3567	0.8739	0.0106	0.4877
Point39	0.4900	0.6576	0.6553	0.7854
Point40	0.8017	0.1722	0.2691	0.2657
Point41	0.3453	0.0533	0.4982	0.6817
Point42	0.0681	0.1293	0.4987	0.3731
Point43	0.8379	0.0099	0.8946	0.8975
Point44	0.2907	0.8572	0.2232	0.4076
Point45	0.6835	0.4586	0.8112	0.9182
Point46	0.8237	0.3168	0.1756	0.7302
Point47	0.5606	0.9089	0.7621	0.1482
Point48	0.5265	0.5378	0.0279	0.2278
Point49	0.1584	0.7931	0.6454	0.7008
Point50	0.1958	0.8357	0.5134	0.9542
Point51	0.0820	0.7941	0.5732	0.1181
Point52	0.0886	0.0590	0.3554	0.9649
Point53	0.6891	0.2548	0.1459	0.6075
Point54	0.2193	0.9778	0.5328	0.4652
Point55	0.2514	0.8620	0.4495	0.8320
Point56	0.2598	0.2852	0.1965	0.7285
Point57	0.0578	0.6762	0.0352	0.7646
Point58	0.4243	0.3241	0.9810	0.1110
Point59	0.2054	0.2326	0.2790	0.6289
Point60	0.6761	0.5755	0.5505	0.8855
Point61	0.8606	0.8789	0.8110	0.4862
Point62	0.9609	0.1495	0.9609	0.5525
Point63	0.7168	0.7356	0.1574	0.6023
Point64	0.9389	0.0022	0.8274	0.7424
Point65	0.2204	0.6642	0.3411	0.3285
Point66	0.8670	0.3718	0.3442	0.8229
Point67	0.8948	0.4114	0.9532	0.8645
Point68	0.8637	0.9744	0.9179	0.8423
Point69	0.7522	0.6623	0.1231	0.9394
Point70	0.7795	0.8268	0.5514	0.5035
Point71	0.3492	0.0764	0.8929	0.1378
Point72	0.2915	0.1763	0.1402	0.4419
Point73	0.5176	0.5125	0.7309	0.3311
Point74	0.6403	0.9089	0.5291	0.2063
Point75	0.1817	0.5487	0.3097	0.4283
Point76	0.6394	0.9789	0.5188	0.9850
Point77	0.9565	0.0974	0.2144	0.4548
Point78	0.1971	0.8583	0.0070	0.3050
Point79	0.4188	0.3835	0.9506	0.7845
Point80	0.6149	0.7382	0.1037	0.6396
Point81	0.0360	0.8029	0.4751	0.2074
Point82	0.3508	0.2335	0.3685	0.1068
Point83	0.7478	0.2144	0.4869	0.3956
Point84	0.7707	0.6370	0.2862	0.2133
Point85	0.1028	0.0279	0.8847	0.2472
Point86	0.6488	0.3512	0.7140	0.9041
Point87	0.6710	0.0491	0.1212	0.5330
Point88	0.8251	0.9829	0.3188	0.0160
Point89	0.1788	0.4157	0.6677	0.2496
Point90	0.4770	0.7314	0.9509	0.6009
Point91	0.4391	0.1170	0.4379	0.0894
Point92	0.9248	0.1206	0.4959	0.4838
Point93	0.6876	0.5293	0.8169	0.4805
Point94	0.7491	0.8306	0.9921	0.8520
Point95	0.3802	0.1158	0.8884	0.7184
Point96	0.2745	0.3706	0.7026	0.6322
Point97	0.8501	0.9444	0.5612	0.8159
Point98	0.1457	0.5998	0.3943	0.9084
Point99	0.4848	0.9560	0.5591	0.8296
